year,lizard,order,frequency,rep,date,time,time.class,lat,long,ground,mesohabitat,microhabitat1,microhabitat 2,microhabitat 3 ,behavior,observer,notes,pulseinterval
2018,91,20,151.37,3,8-May,12:19,PM,35.11772,-119.62737,above,shrub,burrow,,,standing,steph,Note Birds nest in shrub,
2018,93,19,151.29,3,8-May,15:34,PM,35.12053,-119.62569,above,open,below,,,standing,steph,,
2018,99,3,150.609,3,8-May,11:55,AM,35.11512,-119.62489,above,shrub,below,,,standing,steph,Lizard 47 Freq order 25 was missed,
2018,100,1,150.549,3,8-May,13:37,PM,35.11802,-119.62655,above,open,burrow,,,standing,steph,,
2018,130,30,151.969,3,8-May,15:52,PM,35.11969,-119.6216,above,open,,,,standing,steph,There was an error with the numbering of 1337 and 130 it has been edited,
2018,176,12,151.029,3,8-May,12:02,PM,35.11655,-119.63595,above,shrub,,,,basking,mario,Note 12B is missing at this point in time,
2018,200,10,150.83,3,8-May,12:31,PM,35.11834,-119.63204,above,open,burrow,,,basking,mario,,
2018,1337,29,151.909,3,8-May,14:30,PM,35.12174,-119.62857,above,open,burrow,,,basking,steph,,
2018,12B,16,151.15,3,8-May,12:56,PM,35.11811,-119.62936,below,shrub,,,,standing,mario,,
2018,1,21,151.43,4,10-May,10:24,AM,35.12605,-119.63729,above,open,burrow,,,basking,mario,,
2018,2,26,151.809,4,10-May,10:34,AM,35.12483,-119.63649,above,open,burrow,,,basking,mario,,
2018,4,14,151.089,4,10-May,12:38,PM,35.12074,-119.62558,above,open,,,,standing,steph,,
2018,7,23,151.59,4,10-May,12:54,PM,35.11802,-119.62656,below,open,burrow,,,standing,steph,,
2018,9,2,150.57,4,10-May,11:41,AM,35.11698,-119.63414,above,shrub,shrub,,,standing,mario,,
2018,11,22,151.47,4,10-May,10:39,AM,35.12403,-119.63592,below,open,burrow,,,standing,mario,,
2018,12,15,151.11,4,10-May,11:05,AM,35.11913,-119.62969,above,open,shrub,,,basking,mario,,
2018,13,24,151.61,4,10-May,11:19,AM,35.11568,-119.62376,above,shrub,shrub,,,standing,steph,,
2018,19,13,151.049,4,10-May,10:53,AM,35.11979,-119.62923,above,open,burrow,,,basking,mario,,
2018,20,11,151,4,10-May,10:57,AM,35.11949,-119.6291,below,open,,,,standing,mario,,
2018,22,27,151.83,4,10-May,11:26,AM,35.11753,-119.63292,above,open,,,,basking,mario,,
2018,30,7,150.77,4,10-May,11:30,AM,35.11757,-119.63301,above,open,,,,basking,mario,,
2018,31,5,150.669,4,10-May,12:33,PM,35.12019,-119.625,above,open,burrow,,,standing,steph,,
2018,35,18,151.23,4,10-May,11:21,AM,35.11807,-119.6321,above,open,,,,basking,mario,,
2018,39,28,151.849,4,10-May,12:20,PM,35.11639,-119.62572,above,open,mound,burrow,,basking,steph,,
2018,40,17,151.209,4,10-May,12:20,PM,35.11152,-119.63247,above,shrub,shrub,,,standing,mario,,
2018,44,6,150.75,4,10-May,12:12,PM,35.11727,-119.62737,above,open,mound,burrow,,standing,steph,,
2018,47,25,151.649,4,10-May,13:14,PM,35.1202,-119.62782,above,shrub,,,,standing,steph,,
2018,56,9,150.81,4,10-May,11:50,AM,35.11747,-119.63404,above,open,,,,basking,mario,,
