reloc.lat,reloc.long,field.lat,field.long,type,burrows.5m,mounds.5m,size,classification,shrub.dist,notes
35.11799,-119.63359,35.118,-119.63359,mound,18,3,medium,shrub,,
35.11803,-119.63364,35.11804,-119.63364,burrow,6,3,medium,shrub,,
35.11777,-119.63383,35.11777,-119.63383,mound,25,4,medium,shrub,,
35.11775,-119.634,35.11775,-119.634,mound,10,2,large,open,8,
35.11792,-119.63395,35.11792,-119.63396,mound,15,2,small,shrub,,
35.11757,-119.63406,35.11758,-119.63406,burrow,20,3,small,open,5,
35.11752,-119.63425,35.11752,-119.63425,mound,20,4,large,open,8,
35.11732,-119.63428,35.11733,-119.63428,burrow,3,0,small,open,10,
35.11731,-119.6343,35.11733,-119.6343,burrow,10,1,small,open,10,
35.11732,-119.6343,35.11733,-119.6343,burrow,10,1,small,open,10,
35.11731,-119.63432,35.11732,-119.63432,burrow,8,1,small,open,5,
35.11731,-119.63434,35.11732,-119.63435,burrow,10,1,small,open,5,
35.11723,-119.63443,35.11724,-119.63442,mound,25,2,large,open,12,
35.11734,-119.63391,35.11735,-119.63391,burrow,15,2,small,open,10,
35.1171,-119.63401,35.11711,-119.63398,mound,30,6,large,open,10,
35.117,-119.63403,35.117,-119.63405,mound,20,3,medium,open,8,
35.11692,-119.63406,35.11694,-119.63406,burrow,20,2,medium,open,10,
35.11701,-119.6334,35.11703,-119.6334,mound,20,2,large,open,12,
35.11715,-119.63349,35.11717,-119.6335,mound,15,3,medium,open,7,
35.11728,-119.63312,35.11731,-119.6331,mound,12,3,large,shrub,,
35.11741,-119.63319,35.11743,-119.63316,mound,20,2,medium,open,10,
35.11666,-119.633,35.11666,-119.633,mound,25,4,small,open,10,
35.11612,-119.63345,35.11614,-119.63345,mound,20,4,small,open,25,
35.11539,-119.63405,35.11541,-119.63405,mound,25,2,medium,open,30,
35.11535,-119.63405,35.11536,-119.63405,burrow,18,2,medium,open,30,
35.11529,-119.63418,35.1153,-119.63418,burrow,12,1,small,shrub,,not eph
35.1155,-119.63506,35.11552,-119.63503,mound,22,3,medium,shrub,,not eph
35.11626,-119.6353,35.11628,-119.6353,mound,25,1,medium,shrub,,
35.11648,-119.63513,35.1165,-119.63513,burrow,20,1,small,shrub,,
35.1165,-119.63515,35.11652,-119.63518,mound,25,5,medium,open,7,
35.11675,-119.63499,35.11675,-119.63499,burrow,20,1,small,shrub,,
35.1167,-119.63519,35.1167,-119.6352,mound,25,5,medium,shrub,,
35.1165,-119.63543,35.11651,-119.63542,mound,25,3,large,shrub,,
35.11669,-119.63555,35.11671,-119.63556,mound,15,4,medium,shrub,,
35.1167,-119.63553,35.11672,-119.63552,mound,25,6,large,shrub,,
35.11673,-119.63553,35.11675,-119.63554,mound,10,4,small,shrub,,
35.11616,-119.63595,35.11618,-119.63591,mound,25,4,large,open,7,
35.11705,-119.63922,35.11707,-119.63924,mound,30,5,large,open,30,
35.11219,-119.63375,35.11219,-119.63375,burrow,20,2,small,shrub,,
35.11221,-119.63374,35.11222,-119.63374,burrow,20,2,small,shrub,,
35.11222,-119.63376,35.11224,-119.63377,mound,10,3,small,shrub,,
35.11223,-119.63375,35.11226,-119.63374,mound,20,5,small,shrub,,
35.11223,-119.63373,35.11224,-119.63373,burrow,20,4,small,shrub,,
35.11234,-119.63366,35.11233,-119.63371,mound,30,6,large,open,8,
35.11224,-119.63373,35.11224,-119.63373,burrow,20,4,small,shrub,,
35.11198,-119.63348,35.11198,-119.63348,burrow,12,1,small,open,4,
35.11201,-119.63351,35.11203,-119.63353,mound,20,3,small,open,5,
35.11194,-119.63353,35.11195,-119.63353,burrow,20,2,small,open,5,
35.11196,-119.6335,35.11197,-119.63351,burrow,15,1,small,open,3,
35.11194,-119.63349,35.11197,-119.63349,burrow,15,1,small,shrub,,
35.11193,-119.63348,35.11194,-119.63348,mound,20,4,medium,shrub,,
35.11743,-119.62817,35.11745,-119.62814,mound,25,3,medium,shrub,,not eph
35.11707,-119.62762,35.11709,-119.62762,burrow,12,2,small,shrub,,not eph
35.11713,-119.62759,35.11714,-119.62759,mound,25,3,small,shrub,,not eph
35.11716,-119.62746,35.11716,-119.62745,mound,20,2,medium,shrub,,not eph
35.11722,-119.6274,35.11724,-119.6274,mound,20,3,large,shrub,,not eph
35.11727,-119.62737,35.11728,-119.62737,burrow,8,1,small,shrub,,not eph
35.11728,-119.62739,35.11728,-119.62739,burrow,7,1,small,shrub,,not eph
35.11719,-119.62691,35.11719,-119.62688,mound,25,5,large,open,3,
35.11721,-119.62689,35.11723,-119.62689,mound,20,4,medium,open,3,
35.11735,-119.62676,35.11735,-119.62676,mound,25,4,medium,open,4,
35.11687,-119.62653,35.11689,-119.62655,burrow,10,1,large,shrub,,not eph
35.11673,-119.62643,35.11677,-119.62644,mound,25,6,large,shrub,,not eph
35.11655,-119.62646,35.11658,-119.62646,burrow,15,2,small,shrub,,not eph
35.11624,-119.62657,35.11629,-119.62658,mound,25,4,small,shrub,,not eph
35.11636,-119.62621,35.11635,-119.62619,mound,18,1,medium,shrub,,not eph
35.11648,-119.6261,35.11649,-119.62608,burrow,7,1,small,shrub,,not eph
35.11654,-119.62605,35.11655,-119.62605,burrow,5,1,small,shrub,,not eph
35.11657,-119.62619,35.11659,-119.62617,mound,10,3,medium,shrub,,not eph
35.11679,-119.62617,35.11683,-119.62617,mound,10,3,small,shrub,,not eph
35.1167,-119.62582,35.11671,-119.62584,mound,15,3,small,shrub,,not eph
35.11704,-119.62591,35.11705,-119.62593,mound,20,4,medium,shrub,,not eph
35.11708,-119.62531,35.11708,-119.6253,mound,25,3,medium,shrub,,not eph
35.11709,-119.62529,35.1171,-119.6253,burrow,15,3,,shrub,,not eph
35.11549,-119.62489,35.1155,-119.62489,mound,30,1,large,shrub,,
35.11535,-119.62487,35.11537,-119.62486,mound,25,3,medium,open,12,
35.11538,-119.62478,35.1154,-119.62479,mound,20,3,medium,open,10,
35.11539,-119.62476,35.1154,-119.62475,burrow,3,2,small,open,5,
35.11535,-119.62474,35.11538,-119.62472,mound,15,2,large,open,4,
35.11537,-119.62473,35.11538,-119.62472,mound,15,2,large,open,4,
35.1154,-119.62473,35.11532,-119.62473,burrow,10,1,small,open,3,
35.1154,-119.62475,35.11532,-119.62473,burrow,10,1,small,open,3,
35.11541,-119.62474,35.11532,-119.62473,burrow,10,1,small,open,3,
35.11533,-119.62468,35.11532,-119.62464,mound,20,3,large,open,10,
35.1153,-119.62468,35.11532,-119.62464,mound,20,3,large,open,10,
35.11529,-119.62475,35.11531,-119.62476,mound,18,2,medium,shrub,,
35.11528,-119.62472,35.11529,-119.62473,burrow,15,2,small,open,5,
35.1154,-119.62473,35.11531,-119.62476,mound,18,2,medium,shrub,,
35.11528,-119.6247,35.11529,-119.62471,burrow,12,2,small,open,4,
35.11525,-119.62469,35.11523,-119.62466,burrow,5,1,small,shrub,,not eph
35.11518,-119.62489,35.11517,-119.62486,mound,25,3,medium,shrub,,not eph
35.11539,-119.6245,35.1154,-119.62447,mound,15,2,small,open,4,
35.11508,-119.62411,35.1151,-119.62412,mound,22,3,medium,open,4,
35.11488,-119.62401,35.11489,-119.62401,mound,30,4,medium,open,5,
35.11488,-119.62402,35.11489,-119.62401,mound,30,4,medium,open,5,
35.11487,-119.62402,35.11489,-119.62401,mound,30,4,medium,open,5,
35.11488,-119.62405,35.11488,-119.62405,mound,20,4,medium,open,3,
35.11485,-119.62403,35.11486,-119.62403,burrow,10,2,small,open,6,
35.11508,-119.62358,35.1151,-119.62358,burrow,6,1,small,shrub,,not eph
35.1151,-119.62357,35.11512,-119.62357,burrow,8,0,small,shrub,,not eph
35.11515,-119.62368,35.11516,-119.62367,mound,10,4,small,open,12,
35.11553,-119.62412,35.11554,-119.62411,mound,15,2,small,open,5,
35.11598,-119.6196,35.11601,-119.61961,mound,12,3,medium,open,15,
35.1158,-119.61982,35.11582,-119.61983,mound,25,3,large,open,15,
35.11583,-119.6199,35.11583,-119.61992,burrow,3,1,small,open,20,
35.11566,-119.62005,35.11568,-119.62006,mound,20,5,medium,open,8,
35.11547,-119.61966,35.1155,-119.61967,burrow,15,1,small,open,4,
35.11592,-119.62,35.11594,-119.62,burrow,10,1,small,open,12,
35.11591,-119.62,35.11594,-119.62,burrow,10,1,small,open,12,
35.11598,-119.61999,35.11601,-119.61998,mound,20,3,large,open,7,
35.11598,-119.62,35.11601,-119.61998,mound,20,3,large,open,7,
35.11597,-119.61999,35.11601,-119.61998,mound,20,3,large,open,7,
35.11597,-119.61998,35.11601,-119.61998,mound,20,3,large,open,7,
35.11599,-119.62001,35.11601,-119.61998,mound,20,3,large,open,7,
35.11602,-119.62029,35.11603,-119.62032,mound,25,2,large,open,15,
35.11611,-119.61994,35.11613,-119.61995,mound,22,3,medium,open,12,
35.11621,-119.61999,35.11621,-119.62,burrow,18,1,small,shrub,,not eph
35.11642,-119.61957,35.11644,-119.61958,mound,25,3,small,open,25,
35.11793,-119.62384,35.11795,-119.62383,mound,25,4,large,open,20,
35.11948,-119.62121,35.11951,-119.62119,mound,20,2,medium,open,10,
35.12006,-119.62155,35.12007,-119.62154,mound,20,3,medium,open,12,
35.12008,-119.62156,35.12009,-119.62157,burrow,20,2,small,open,15,
35.12031,-119.6217,35.12031,-119.62169,mound,25,4,medium,open,22,
35.12033,-119.62171,35.12035,-119.62171,mound,35,5,large,open,20,
35.12033,-119.62169,35.12034,-119.6217,mound,25,4,small,open,24,
35.11987,-119.62206,35.11989,-119.62206,mound,20,3,medium,shrub,,
35.11985,-119.62206,35.11985,-119.62208,mound,22,4,medium,open,5,
35.11983,-119.62204,35.11985,-119.62204,burrow,20,3,small,open,4,
35.11984,-119.62202,35.11988,-119.62201,mound,25,4,large,open,4,
35.11986,-119.62201,35.11988,-119.62201,mound,25,4,large,open,4,
35.1203,-119.62495,35.1203,-119.62492,mound,30,3,small,open,5,
35.12019,-119.62499,35.1202,-119.62498,burrow,18,2,small,open,10,
35.12007,-119.62529,35.12007,-119.62531,mound,15,6,medium,open,20,
35.12009,-119.62533,35.12012,-119.62533,mound,32,5,medium,open,20,
35.12009,-119.62531,35.12012,-119.62533,mound,32,5,medium,open,20,
35.12009,-119.62532,35.12012,-119.62533,mound,32,5,medium,open,20,
35.12009,-119.62534,35.12012,-119.62533,mound,32,5,medium,open,20,
35.1201,-119.6253,35.12011,-119.62528,mound,20,4,small,open,18,
35.12008,-119.62532,35.12008,-119.62531,mound,15,4,small,open,25,
35.1207,-119.62547,35.12072,-119.62547,burrow,10,3,small,open,18,
35.12103,-119.62554,35.12106,-119.62553,mound,25,3,large,open,7,
35.12087,-119.62526,35.12088,-119.62526,burrow,22,2,small,open,4,
35.12085,-119.62526,35.12085,-119.62526,burrow,20,2,small,open,10,
35.1208,-119.62521,35.12083,-119.62521,mound,20,3,medium,open,9,
35.12083,-119.62523,35.12085,-119.62521,mound,10,4,small,open,7,
35.12085,-119.62523,35.12086,-119.62523,burrow,12,2,small,open,6,
35.12086,-119.62521,35.1209,-119.62521,mound,30,2,small,shrub,,
35.1209,-119.62515,35.12091,-119.62514,mound,15,2,small,open,4,
35.12091,-119.6251,35.12093,-119.62509,mound,28,3,medium,open,7,
35.1209,-119.62508,35.12093,-119.62509,mound,28,3,medium,open,7,
35.12094,-119.62507,35.12095,-119.62508,mound,10,4,small,open,10,
35.12098,-119.62511,35.12099,-119.62511,mound,15,3,medium,open,10,
35.12088,-119.62505,35.12089,-119.62506,burrow,10,2,small,open,6,
35.11835,-119.62518,35.11837,-119.6252,mound,25,3,large,open,3,
35.11836,-119.62516,35.1184,-119.62516,mound,25,5,large,open,35,
35.11837,-119.62517,35.1184,-119.62516,mound,25,5,large,open,35,
35.11837,-119.62514,35.1184,-119.62514,mound,20,3,medium,shrub,,not eph
35.11836,-119.62513,35.11836,-119.62512,burrow,12,3,small,open,35,
35.11786,-119.6255,35.11787,-119.62548,burrow,10,2,small,shrub,,
35.11809,-119.62569,35.11811,-119.62569,mound,25,5,medium,shrub,,not eph
35.11792,-119.62625,35.11792,-119.62626,mound,20,4,large,open,50,
35.11788,-119.62626,35.11788,-119.62627,burrow,15,3,small,open,50,
35.11798,-119.62631,35.11799,-119.62632,burrow,15,3,small,open,50,
35.11797,-119.62638,35.11799,-119.62637,mound,20,5,small,open,50,
35.1179,-119.62643,35.11793,-119.62643,mound,15,4,small,open,50,
35.11789,-119.62648,35.11789,-119.62648,mound,10,3,small,open,50,
35.11779,-119.62637,35.11777,-119.62637,mound,25,1,large,open,50,
35.11768,-119.62634,35.11767,-119.62634,mound,15,1,large,open,50,
35.11785,-119.6266,35.11785,-119.62661,burrow,7,0,small,open,50,
35.11792,-119.62673,35.11793,-119.6267,mound,20,2,large,open,50,
35.11795,-119.6267,35.11796,-119.62669,mound,22,3,medium,open,50,
35.11797,-119.6267,35.11796,-119.62669,mound,22,3,medium,open,50,
35.11798,-119.62671,35.11798,-119.62671,burrow,10,2,small,open,50,
35.11796,-119.62673,35.11797,-119.62674,burrow,5,1,small,shrub,,not eph
35.11801,-119.62672,35.11803,-119.62671,burrow,5,2,small,shrub,,not eph
35.11798,-119.62656,35.11802,-119.62656,mound,15,3,large,open,50,
35.11801,-119.62657,35.11802,-119.62656,mound,15,3,large,open,50,
35.11803,-119.62656,35.11804,-119.62656,burrow,10,2,small,open,50,
35.118,-119.62653,35.11801,-119.62654,mound,10,3,small,open,50,
35.11796,-119.62653,35.11799,-119.62653,burrow,5,1,small,open,50,
35.11808,-119.62647,35.1181,-119.6265,mound,15,3,medium,shrub,,not eph
35.11961,-119.63003,35.11962,-119.63004,mound,25,2,small,shrub,,
35.11985,-119.63031,35.11985,-119.63031,burrow,7,1,small,open,5,
35.1199,-119.62988,35.11991,-119.62988,mound,30,1,large,open,10,
35.12014,-119.62994,35.12017,-119.62994,mound,18,2,large,open,20,
35.12081,-119.62992,35.12082,-119.62993,burrow,15,2,small,shrub,,
35.12053,-119.62949,35.12054,-119.6295,burrow,20,2,small,open,15,
35.12058,-119.62939,35.12059,-119.62939,burrow,10,2,small,open,15,
35.12062,-119.62941,35.12061,-119.6294,mound,15,2,large,open,15,
35.12063,-119.62938,35.12061,-119.6294,mound,15,2,large,open,15,
35.12059,-119.6294,35.12061,-119.6294,mound,15,2,large,open,15,
35.12062,-119.62936,35.12063,-119.62936,burrow,10,1,small,open,12,
35.12062,-119.6293,35.12063,-119.62929,mound,20,3,medium,open,15,
35.12066,-119.62935,35.12067,-119.62936,burrow,10,1,small,open,5,
35.12067,-119.62941,35.1207,-119.62943,mound,30,1,large,open,5,
35.12056,-119.62911,35.12058,-119.62914,mound,35,3,large,open,7,
35.12052,-119.62917,35.12054,-119.62919,mound,25,3,medium,open,8,
35.12062,-119.62907,35.12064,-119.62906,mound,25,3,large,open,12,
35.12074,-119.62897,35.12076,-119.62897,mound,25,2,large,open,20,
35.12079,-119.62836,35.12082,-119.62837,mound,15,4,small,open,4,
35.1199,-119.62875,35.1199,-119.62875,mound,20,3,medium,open,6,
35.11993,-119.62875,35.11993,-119.62875,mound,22,3,medium,open,10,
35.11996,-119.62919,35.11997,-119.62921,mound,20,2,medium,open,10,
35.11993,-119.62926,35.11995,-119.62928,burrow,10,2,small,open,12,
35.12003,-119.6293,35.12005,-119.6293,mound,18,5,large,open,10,
35.12,-119.62926,35.12004,-119.62929,mound,15,4,medium,open,15,
35.12,-119.62928,35.12004,-119.62929,mound,15,4,medium,open,15,
35.11953,-119.62922,35.11953,-119.6292,burrow,4,2,small,open,20,
35.11932,-119.629,35.11934,-119.62898,mound,15,2,large,open,15,
35.11931,-119.62897,35.11934,-119.62898,mound,15,2,large,open,15,
35.11932,-119.62899,35.11934,-119.62898,mound,15,2,large,open,15,
35.1193,-119.62899,35.11934,-119.62898,mound,15,2,large,open,15,
35.11932,-119.62897,35.11934,-119.62898,mound,15,2,large,open,15,
35.1193,-119.62901,35.11934,-119.62898,mound,15,2,large,open,15,
35.11931,-119.629,35.11934,-119.62898,mound,15,2,large,open,15,
35.11924,-119.62894,35.11925,-119.62893,mound,12,3,small,open,8,
35.11928,-119.62882,35.11929,-119.62883,mound,20,2,medium,open,10,
35.11937,-119.62891,35.11938,-119.62892,mound,15,3,medium,open,15,
35.11897,-119.62794,35.119,-119.62792,mound,22,2,medium,shrub,,
35.11953,-119.62749,35.11956,-119.62751,mound,20,1,large,open,8,
35.11954,-119.62746,35.11955,-119.62745,mound,15,4,small,open,5,
35.11957,-119.62708,35.11957,-119.62708,mound,20,2,medium,open,5,
35.11976,-119.62712,35.11978,-119.62708,mound,30,2,large,open,20,
35.11978,-119.62707,35.11978,-119.62708,mound,30,2,large,open,20,
35.11975,-119.62704,35.11976,-119.62704,burrow,10,2,small,open,20,
35.11981,-119.62693,35.11982,-119.62691,mound,20,1,large,open,35,
35.11979,-119.62691,35.11982,-119.62691,mound,20,1,large,open,35,
35.11983,-119.62657,35.11985,-119.62657,mound,20,2,large,open,25,
35.12046,-119.62738,35.1205,-119.62737,mound,35,1,large,shrub,,
35.12095,-119.62737,35.12098,-119.62737,mound,25,2,small,open,5,
35.12011,-119.62764,35.12012,-119.62765,mound,20,2,large,open,15,
35.12008,-119.62778,35.12009,-119.62778,mound,15,3,small,open,12,
35.11974,-119.62749,35.11975,-119.62749,burrow,8,2,small,shrub,,not eph
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
