reloc.lat,reloc.long,field.lat,field.long,type,burrows.5m,mounds.5m,size,classification,shrub.dist,notes
35.11885,-119.6294,35.11888,-119.62942,burrow,5,1,medium,shrub,,
35.11863,-119.62879,35.11864,-119.62876,mound,35,1,large,open,8,
35.11813,-119.6291,35.11814,-119.6291,burrow,31,2,medium,open,15,
35.11811,-119.62915,35.11814,-119.62914,mound,30,1,medium,open,22,
35.11811,-119.62914,35.11814,-119.62914,mound,30,1,medium,open,22,
35.11812,-119.62913,35.11814,-119.62914,mound,30,1,medium,open,22,
35.11813,-119.62917,35.11813,-119.62918,mound,22,1,small,open,25,
35.11818,-119.6292,35.11819,-119.62921,burrow,10,1,large,open,15,
35.1182,-119.62918,35.11823,-119.62917,mound,25,2,large,open,,
35.11825,-119.62915,35.11827,-119.62917,mound,33,2,small,open,7,
35.11806,-119.62966,35.11808,-119.62966,mound,18,3,small,open,12,
35.11805,-119.62964,35.11807,-119.62963,mound,15,1,small,open,15,
35.11808,-119.62964,35.1181,-119.62964,mound,12,2,small,open,10,
35.11808,-119.62965,35.1181,-119.62964,mound,12,2,small,open,10,
35.11841,-119.63016,35.11842,-119.63017,burrow,6,1,medium,open,25,
35.1186,-119.63015,35.11863,-119.63013,mound,18,2,medium,open,8,
35.1191,-119.63046,35.1191,-119.63046,mound,25,3,medium,open,30,
35.11909,-119.63046,35.1191,-119.63046,mound,25,3,medium,open,30,
35.11924,-119.6312,35.11926,-119.63121,mound,10,2,small,open,20,
35.11881,-119.63152,35.11884,-119.63152,mound,12,2,small,open,7,
35.11831,-119.6312,35.11836,-119.6312,mound,28,1,large,shrub,,
35.11814,-119.63155,35.11818,-119.63152,mound,15,1,large,open,8,
35.11817,-119.63166,35.1182,-119.63161,burrow,5,2,small,shrub,,not eph
35.11814,-119.63169,35.11816,-119.6317,burrow,3,1,medium,open,20,
35.11816,-119.63177,35.11818,-119.63176,burrow,11,1,small,open,12,
35.11821,-119.63179,35.11826,-119.63181,mound,20,2,large,open,15,
35.11766,-119.63181,35.11771,-119.63181,mound,22,5,small,open,12,
35.11765,-119.6319,35.11766,-119.6319,burrow,14,2,medium,open,,
35.11745,-119.63172,35.11751,-119.63166,mound,25,1,large,open,20,
35.11745,-119.63172,35.11745,-119.63171,burrow,4,2,small,open,30,
35.11753,-119.6313,35.11754,-119.63134,mound,15,1,medium,open,30,
35.11749,-119.63108,35.11751,-119.6311,burrow,5,1,small,open,12,
35.11752,-119.63105,35.11752,-119.63103,mound,12,2,medium,open,15,
35.11753,-119.63101,35.11756,-119.631,mound,20,3,small,open,20,
35.11755,-119.63104,35.11757,-119.63103,mound,8,2,small,open,18,
35.11755,-119.63103,35.11757,-119.63103,mound,8,2,small,open,18,
35.11755,-119.63107,35.11757,-119.63108,burrow,5,1,medium,open,15,
35.11758,-119.63105,35.11761,-119.63105,burrow,12,1,small,open,20,
35.11761,-119.63108,35.11763,-119.63107,mound,20,1,small,open,20,
35.11723,-119.63154,35.11723,-119.63154,mound,20,2,medium,open,35,
35.11732,-119.63171,35.11734,-119.63171,burrow,6,2,small,shrub,,not eph
35.11741,-119.63185,35.11741,-119.63187,mound,7,2,small,open,35,
35.11734,-119.63203,35.11734,-119.63203,burrow,6,3,small,open,15,
35.11752,-119.63207,35.11752,-119.63205,mound,10,3,small,open,20,
35.11751,-119.63207,35.11752,-119.63205,mound,10,3,small,open,20,
35.1175,-119.63207,35.11751,-119.63208,burrow,8,2,small,open,20,
35.11753,-119.63206,35.11755,-119.63206,mound,12,2,small,open,25,
35.11753,-119.63204,35.11755,-119.63203,mound,5,4,small,open,30,
35.11749,-119.63204,35.11749,-119.63203,burrow,10,2,small,open,25,
35.11764,-119.63212,35.11764,-119.63213,mound,12,2,large,open,20,
35.11759,-119.63232,35.1176,-119.63233,mound,10,2,small,shrub,,
35.11715,-119.63242,35.11718,-119.63242,burrow,10,1,small,shrub,,not eph
35.11745,-119.63292,35.11749,-119.63293,burrow,8,1,small,open,10,
35.11747,-119.63296,35.11749,-119.63297,burrow,10,2,small,open,5,
35.11755,-119.63294,35.11756,-119.63294,burrow,7,0,small,open,12,
35.11761,-119.633,35.11761,-119.633,mound,8,2,large,open,15,
35.11784,-119.63245,35.11786,-119.63245,mound,12,4,large,open,25,
35.11791,-119.63316,35.11794,-119.63316,mound,8,1,large,open,10,
35.11776,-119.63344,35.11778,-119.63343,mound,20,2,large,shrub,,
35.11789,-119.6336,35.1179,-119.63359,burrow,15,3,medium,open,12,
35.11794,-119.63359,35.11796,-119.6336,mound,25,4,medium,open,10,
